City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
can,40.0333,27.0524,62.6,59,75,14.97,TR,1619229253
mildura,-34.2,142.15,64.4,48,75,9.22,AU,1619229052
puerto escondido,15.85,-97.0667,82.4,78,40,3.78,MX,1619229255
egvekinot,66.3167,-179.1667,31.96,88,100,3.94,RU,1619229256
sandy bay,-42.913,147.3532,60.8,51,75,12.66,AU,1619229259
urucui,-7.2294,-44.5561,76.75,82,17,0.72,BR,1619229260
filadelfia,39.9523,-75.1638,59.0,38,40,12.66,US,1619228978
gat,31.61,34.7642,66.0,100,52,1.57,IL,1619229263
blue springs,39.0169,-94.2816,52.0,97,90,4.61,US,1619229266
sola,-13.8833,167.55,83.64,68,100,13.42,VU,1619229267
igarka,67.4667,86.5833,30.7,94,100,18.9,RU,1619229268
touros,-5.1989,-35.4608,80.6,83,40,5.75,BR,1619229269
komsomolskiy,40.4272,71.7189,53.6,50,100,4.61,UZ,1619229270
maumere,-8.6199,122.2111,84.6,64,7,2.28,ID,1619229271
makakilo city,21.3469,-158.0858,82.4,51,75,12.66,US,1619229273
nhulunbuy,-12.2333,136.7667,87.8,51,93,18.41,AU,1619229274
goderich,43.7501,-81.7165,48.2,57,99,9.22,CA,1619229275
puerto baquerizo moreno,-0.9,-89.6,75.87,88,10,9.44,EC,1619229276
port lincoln,-34.7333,135.8667,63.9,59,59,6.4,AU,1619229277
kieta,-6.2167,155.6333,84.24,67,61,5.08,PG,1619229278
marawi,7.9986,124.2928,84.0,77,100,5.99,PH,1619229280
carballo,43.213,-8.691,57.99,89,98,1.99,ES,1619229281
boende,-0.2167,20.8667,71.55,98,100,3.04,CD,1619229282
rabo de peixe,37.8,-25.5833,57.2,72,40,11.5,PT,1619229283
dzerzhinsk,56.2389,43.4631,48.2,71,0,4.47,RU,1619229284
cherskiy,68.75,161.3,26.83,88,100,4.9,RU,1619229285
cayenne,4.9333,-52.3333,79.0,100,75,3.44,GF,1619229287
fortuna,40.5982,-124.1573,53.01,93,1,9.22,US,1619229288
la ciotat,43.1748,5.6045,55.0,71,3,4.63,FR,1619229289
vredendal,-31.6683,18.5012,57.31,84,3,1.92,ZA,1619229290
buala,-8.145,159.5921,85.33,66,39,5.17,SB,1619229291
dikson,73.5069,80.5464,31.86,98,100,15.35,RU,1619229292
batagay-alyta,67.8006,130.4114,17.24,71,18,4.25,RU,1619229294
iqaluit,63.7506,-68.5145,28.4,93,90,3.44,CA,1619229295
ahipara,-35.1667,173.1667,66.4,63,21,9.42,NZ,1619229296
faanui,-16.4833,-151.75,80.02,74,100,10.56,PF,1619229297
kruisfontein,-34.0033,24.7314,59.0,93,93,1.99,ZA,1619229298
jumla,29.2747,82.1838,53.85,40,15,3.15,NP,1619229301
tuktoyaktuk,69.4541,-133.0374,19.4,68,75,11.5,CA,1619229302
tautira,-17.7333,-149.15,82.4,74,40,10.36,PF,1619229303
daru,-9.0763,143.2092,85.95,65,41,5.01,PG,1619229305
kungurtug,50.5994,97.5228,29.82,87,100,2.46,RU,1619229306
wonthaggi,-38.6044,145.5913,62.01,74,100,14.38,AU,1619229307
myaundzha,63.0494,147.1858,15.67,75,100,5.19,RU,1619229308
kankakee,41.15,-87.8667,53.6,66,90,3.44,US,1619229311
norman wells,65.282,-126.8329,35.6,32,75,9.22,CA,1619229312
taoudenni,22.6783,-3.9836,86.63,7,0,8.41,ML,1619229313
kamaishi,39.2667,141.8833,57.2,44,0,3.44,JP,1619229274
namibe,-15.1961,12.1522,77.22,80,23,5.53,AO,1619229317
ceres,37.5949,-120.9577,73.4,35,1,4.61,US,1619229318
nauta,-4.5061,-73.5757,73.51,95,41,2.28,PE,1619229320
la cruz,23.9167,-106.9,73.0,68,39,3.0,MX,1619229321
necochea,-38.5473,-58.7368,60.01,97,100,5.53,AR,1619229322
tshela,-4.9833,12.9333,72.43,99,99,1.07,CD,1619229325
nouadhibou,20.931,-17.0347,64.4,88,0,18.41,MR,1619229326
inverell,-29.7833,151.1167,68.0,44,1,1.01,AU,1619229327
placido de castro,-10.3353,-67.1856,76.42,86,72,2.55,BR,1619229328
valley city,46.9233,-98.0032,32.0,64,90,6.91,US,1619229329
tolbazy,54.0241,55.8825,44.6,93,90,6.71,RU,1619229331
locri,38.2414,16.2623,55.99,94,90,8.05,IT,1619229332
ust-nera,64.5667,143.2,18.1,74,100,4.81,RU,1619229333
campbell river,50.0163,-125.2446,54.0,71,90,10.36,CA,1619229334
beyneu,45.3167,55.2,48.9,86,0,10.31,KZ,1619229335
chokurdakh,70.6333,147.9167,9.88,85,18,1.41,RU,1619229336
atambua,-9.1061,124.8925,82.85,57,3,0.58,ID,1619229338
cap malheureux,-19.9842,57.6142,75.99,85,98,4.0,MU,1619229339
jasper,37.2001,-94.3502,57.2,88,90,14.97,US,1619229340
hualmay,-11.0964,-77.6139,66.85,88,10,7.9,PE,1619229341
purpe,64.4803,76.6897,36.0,77,100,12.82,RU,1619229342
liverpool,53.4106,-2.9779,48.2,57,100,6.91,GB,1619229072
ormara,25.2088,64.6357,80.31,78,0,1.72,PK,1619229345
qitaihe,45.8,130.85,42.53,49,100,11.72,CN,1619229093
kampot,10.6167,104.1833,86.0,84,40,1.14,KH,1619229347
wieliczka,49.9874,20.0647,37.99,81,0,6.91,PL,1619229348
jiangyou,31.7667,104.7167,65.34,82,100,1.36,CN,1619229349
terrace,54.5163,-128.6035,62.6,20,75,2.3,CA,1619229350
lucapa,-8.4192,20.7447,65.43,97,100,2.75,AO,1619229352
rundu,-17.9333,19.7667,56.41,49,0,4.88,NA,1619229353
khani,41.9563,42.9566,53.6,58,0,4.61,GE,1619229354
campo maior,-4.8278,-42.1686,73.29,93,100,3.58,BR,1619229355
yabelo,4.8833,38.0833,57.74,90,98,5.93,ET,1619229356
rakaia,-43.75,172.0167,62.01,26,99,13.0,NZ,1619229357
codrington,-38.2667,141.9667,60.66,70,90,13.33,AU,1619229359
kudahuvadhoo,2.6708,72.8944,83.28,65,36,9.62,MV,1619229360
heihe,50.2441,127.4902,48.2,21,20,15.66,CN,1619229361
kalianget,-7.05,113.9333,82.6,69,9,6.33,ID,1619229362
nantucket,41.2835,-70.0995,46.4,76,1,16.11,US,1619229364
sao filipe,14.8961,-24.4956,71.06,75,7,7.61,CV,1619229365
yerofey pavlovich,53.9667,121.9667,44.91,28,46,7.49,RU,1619229366
beloha,-25.1667,45.05,68.5,76,1,10.74,MG,1619229367
balikpapan,-1.2675,116.8289,83.39,65,87,7.4,ID,1619229369
port hedland,-20.3167,118.5667,89.6,14,0,20.71,AU,1619229370
manakara,-22.1333,48.0167,69.46,93,83,4.59,MG,1619229373
itarema,-2.9248,-39.9167,77.65,85,54,8.61,BR,1619229374
nguruka,-5.1092,31.0419,62.33,96,38,2.35,TZ,1619229375
san quintin,30.4833,-115.95,58.98,76,21,15.39,MX,1619229376
las tunas,20.9617,-76.9511,78.8,73,20,10.36,CU,1619229379
libano,4.9218,-75.0623,60.76,94,76,4.9,CO,1619229380
ambilobe,-13.2,49.05,70.41,86,73,3.15,MG,1619229381
teluk nibung,3.001,99.8164,76.84,88,100,2.68,ID,1619229382
wanxian,30.8039,108.3897,64.31,96,100,7.83,CN,1619229383
lanzhou,36.0564,103.7922,41.0,93,90,8.95,CN,1619229384
orange walk,17.8333,-88.8333,75.15,80,87,4.14,BZ,1619229386
caravelas,-17.7125,-39.2481,73.38,86,0,4.56,BR,1619229387
los llanos de aridane,28.6585,-17.9182,66.2,63,40,6.91,ES,1619229388
margate,51.3813,1.3862,46.99,76,86,1.99,GB,1619229389
lasa,46.6166,10.7002,46.0,70,0,3.44,IT,1619229392
ilulissat,69.2167,-51.1,28.4,69,100,6.91,GL,1619229393
yelatma,54.9675,41.7508,43.83,92,14,8.99,RU,1619229394
sept-iles,50.2001,-66.3821,34.0,100,90,3.44,CA,1619229395
sinnamary,5.3833,-52.95,77.54,89,100,12.82,GF,1619229396
terrasini,38.146,13.0844,57.2,94,75,17.27,IT,1619229397
bandarbeyla,9.4942,50.8122,82.38,74,80,4.41,SO,1619229400
bathurst,-33.4166,149.5806,62.01,52,77,3.0,AU,1619229211
sechura,-5.5569,-80.8222,71.44,70,9,16.64,PE,1619229403
fairlie,55.756,-4.8556,45.0,83,100,3.0,GB,1619229404
ribeira grande,38.5167,-28.7,58.64,78,99,28.74,PT,1619229405
coquimbo,-29.9533,-71.3436,57.2,77,75,3.44,CL,1619229406
vagur,61.4732,-6.8119,45.16,86,98,3.47,FO,1619229408
isangel,-19.55,169.2667,86.0,70,75,5.75,VU,1619229409
amalner,21.05,75.0667,83.86,35,70,7.45,IN,1619229411
constitucion,-35.3333,-72.4167,55.0,79,0,10.09,CL,1619229412
bathsheba,13.2167,-59.5167,80.6,61,40,14.97,BB,1619229413
raudeberg,61.9875,5.1352,35.01,88,71,12.21,NO,1619229414
paamiut,61.994,-49.6678,32.11,77,2,4.52,GL,1619229415
east wenatchee,47.4157,-120.2931,66.0,22,1,10.36,US,1619229416
ixtapa,20.7,-105.2,78.8,69,20,11.5,MX,1619229419
tha mai,12.6214,102.0048,88.0,80,100,4.5,TH,1619229420
labuhan,-6.8844,112.2051,82.31,70,2,4.99,ID,1619229422
padre bernardo,-15.35,-48.5,65.8,72,0,2.24,BR,1619229423
dwarka,22.2394,68.9678,81.41,77,100,10.54,IN,1619229424
sorland,67.667,12.6934,36.54,54,98,21.45,NO,1619229425
airai,-8.9266,125.4092,74.17,48,5,3.13,TL,1619229426
kimparana,12.8347,-4.9244,94.66,20,86,3.62,ML,1619229427
svetlogorsk,52.6333,29.7333,32.67,88,58,10.27,BY,1619229429
pocone,-16.2567,-56.6228,75.69,56,5,4.99,BR,1619229430
ovre ardal,61.3167,7.8,16.32,94,70,4.88,NO,1619229431
simbahan,6.3032,120.5836,82.83,67,95,0.54,PH,1619229432
mocajuba,-2.5842,-49.5072,72.77,99,93,2.35,BR,1619229433
erzin,36.9559,36.2,60.01,60,50,1.99,TR,1619229435
sayat,38.7839,63.8803,53.6,50,0,4.61,TM,1619229436
atikokan,48.7555,-91.6216,33.4,96,100,7.27,CA,1619229437
mushie,-3.0167,16.9,71.2,97,100,6.29,CD,1619229438
parrita,9.5201,-84.3225,71.6,68,75,11.5,CR,1619229439
klaksvik,62.2266,-6.589,42.8,100,90,6.91,FO,1619229440
rochegda,62.8,43.25,44.87,86,100,9.6,RU,1619229442
kilis,36.7161,37.115,50.0,62,0,5.01,TR,1619229443
luderitz,-26.6481,15.1594,63.52,74,4,7.56,NA,1619229444
tuatapere,-46.1333,167.6833,48.99,87,72,7.0,NZ,1619229446
curillo,1.0333,-75.9191,72.21,97,100,0.78,CO,1619229447
krasnoselkup,65.7,82.4667,32.49,93,97,16.93,RU,1619229449
bedford,52.1346,-0.4663,39.0,73,98,1.01,GB,1619229157
wanning,18.8003,110.3967,83.46,70,7,11.7,CN,1619229451
maceio,-9.6658,-35.7353,73.4,100,0,3.44,BR,1619229452
badvel,14.75,79.05,84.25,55,41,2.64,IN,1619229453
marzuq,14.4,46.4667,67.17,53,1,6.02,YE,1619229454
axim,4.8699,-2.2405,81.77,80,100,7.47,GH,1619229456
ust-ishim,57.6935,71.1665,39.9,57,100,7.25,RU,1619229457
general pico,-35.6566,-63.7568,59.9,93,17,6.91,AR,1619229458
agadez,19.75,10.25,83.95,14,20,10.4,NE,1619229459
severo-kurilsk,50.6789,156.125,38.07,86,98,6.64,RU,1619229460
waddan,29.1614,16.139,65.48,56,4,14.99,LY,1619229461
humberto de campos,-2.5983,-43.4611,74.73,94,100,2.1,BR,1619229463
kourou,5.1552,-52.6478,79.0,100,75,3.44,GF,1619229464
port macquarie,-31.4333,152.9167,73.0,45,17,1.01,AU,1619229465
urubicha,-15.3833,-62.95,72.97,85,66,2.39,BO,1619229469
merauke,-8.4667,140.3333,84.4,74,42,3.71,ID,1619229472
sosnogorsk,63.6023,53.8817,39.16,87,97,4.7,RU,1619229473
trincomalee,8.5711,81.2335,80.69,80,2,4.09,LK,1619229474
chulman,56.8479,124.9104,29.97,91,100,16.33,RU,1619229475
quetta,30.199,67.0097,61.39,43,0,4.21,PK,1619229477
mlonggo,-6.5333,110.7,86.0,58,20,8.05,ID,1619229478
coihaique,-45.5752,-72.0662,43.63,97,79,5.53,CL,1619229480
kupang,-10.1667,123.5833,84.65,64,2,6.82,ID,1619229429
chickasha,35.0526,-97.9364,60.8,100,90,0.25,US,1619229483
gizo,-8.103,156.8419,84.33,71,79,7.65,SB,1619229485
atbasar,51.8,68.3333,38.3,52,100,12.48,KZ,1619229486
abu kamal,34.4506,40.9171,70.18,18,0,4.74,SY,1619229487
cabo san lucas,22.8909,-109.9124,75.2,50,20,4.61,MX,1619229488
seoul,37.5683,126.9778,66.2,32,0,4.61,KR,1619229357
amarante do maranhao,-5.5667,-46.7422,72.84,96,81,2.21,BR,1619229490
ostrovnoy,68.0531,39.5131,31.98,95,100,25.17,RU,1619229492
boundiali,9.5217,-6.4869,79.21,51,32,4.72,CI,1619229493
